LR: 0.1, DF: 0, DRT: 0.001
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('/usr/local/lib/python3.5/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0 to DejaVu Sans ('/usr/local/lib/python3.5/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
[Epoch 071/100]	Epsilon:0.1465	#Expl.:646/4299	#Buy:222	#Sell:3662	#Hold:415	#Stocks:  0.000073	PV:   7260.66	POS:100	NEG:4013	Loss:  0.026284
[Epoch 072/100]	Epsilon:0.1414	#Expl.:645/4299	#Buy:620	#Sell:2432	#Hold:1247	#Stocks:  0.605105	PV:   6424.16	POS:630	NEG:2992	Loss:  0.044919
[Epoch 073/100]	Epsilon:0.1364	#Expl.:577/4299	#Buy:1712	#Sell:1745	#Hold:842	#Stocks:  0.549269	PV:   6950.87	POS:940	NEG:2386	Loss:  0.050989
[Epoch 074/100]	Epsilon:0.1313	#Expl.:543/4299	#Buy:417	#Sell:1872	#Hold:2010	#Stocks:  0.000000	PV:   5584.08	POS:916	NEG:2428	Loss:  0.049988
[Epoch 075/100]	Epsilon:0.1263	#Expl.:558/4299	#Buy:1559	#Sell:2249	#Hold:491	#Stocks:  0.884764	PV:   5653.71	POS:727	NEG:2782	Loss:  0.039881
[Epoch 076/100]	Epsilon:0.1212	#Expl.:528/4299	#Buy:3828	#Sell:275	#Hold:196	#Stocks:  0.638537	PV:   4080.30	POS:1795	NEG:664	Loss:  0.062107
[Epoch 077/100]	Epsilon:0.1162	#Expl.:475/4299	#Buy:4002	#Sell:135	#Hold:162	#Stocks:  0.670794	PV:   4286.42	POS:1842	NEG:573	Loss:  0.062314
[Epoch 078/100]	Epsilon:0.1111	#Expl.:488/4299	#Buy:2653	#Sell:1501	#Hold:145	#Stocks:  0.000000	PV:   6142.65	POS:1255	NEG:1747	Loss:  0.037915
[Epoch 079/100]	Epsilon:0.1061	#Expl.:464/4299	#Buy:161	#Sell:3636	#Hold:502	#Stocks:  0.002952	PV:   7771.44	POS:45	NEG:4151	Loss:  0.014860
[Epoch 080/100]	Epsilon:0.1010	#Expl.:431/4299	#Buy:337	#Sell:2462	#Hold:1500	#Stocks:  0.000000	PV:   6913.42	POS:485	NEG:3283	Loss:  0.029245
[Epoch 081/100]	Epsilon:0.0960	#Expl.:439/4299	#Buy:151	#Sell:3147	#Hold:1001	#Stocks:  0.000000	PV:   8641.99	POS:35	NEG:4169	Loss:  0.013244
[Epoch 082/100]	Epsilon:0.0909	#Expl.:372/4299	#Buy:117	#Sell:2781	#Hold:1401	#Stocks:  0.000000	PV:   7423.00	POS:26	NEG:4193	Loss:  0.011062
[Epoch 083/100]	Epsilon:0.0859	#Expl.:357/4299	#Buy:109	#Sell:2826	#Hold:1364	#Stocks:  0.000000	PV:   8720.97	POS:33	NEG:4195	Loss:  0.012069
[Epoch 084/100]	Epsilon:0.0808	#Expl.:338/4299	#Buy:105	#Sell:3042	#Hold:1152	#Stocks:  0.000000	PV:   8942.25	POS:30	NEG:4202	Loss:  0.014733
[Epoch 085/100]	Epsilon:0.0758	#Expl.:300/4299	#Buy:122	#Sell:3175	#Hold:1002	#Stocks:  0.000000	PV:   8587.62	POS:42	NEG:4177	Loss:  0.010363
[Epoch 086/100]	Epsilon:0.0707	#Expl.:329/4299	#Buy:281	#Sell:3348	#Hold:670	#Stocks:  1.225458	PV:   7830.76	POS:140	NEG:3953	Loss:  0.018942
[Epoch 087/100]	Epsilon:0.0657	#Expl.:280/4299	#Buy:3653	#Sell:522	#Hold:124	#Stocks:  0.000000	PV:   4479.42	POS:1658	NEG:952	Loss:  0.052656
[Epoch 088/100]	Epsilon:0.0606	#Expl.:277/4299	#Buy:82	#Sell:1809	#Hold:2408	#Stocks:  0.000000	PV:   9513.93	POS:21	NEG:4230	Loss:  0.008303
[Epoch 089/100]	Epsilon:0.0556	#Expl.:224/4299	#Buy:85	#Sell:1517	#Hold:2697	#Stocks:  0.000000	PV:   8353.79	POS:21	NEG:4224	Loss:  0.007387
[Epoch 090/100]	Epsilon:0.0505	#Expl.:203/4299	#Buy:68	#Sell:709	#Hold:3522	#Stocks:  0.000000	PV:   9139.33	POS:16	NEG:4240	Loss:  0.006488
[Epoch 091/100]	Epsilon:0.0455	#Expl.:188/4299	#Buy:57	#Sell:628	#Hold:3614	#Stocks:  0.000000	PV:   8712.16	POS:14	NEG:4251	Loss:  0.005295
[Epoch 092/100]	Epsilon:0.0404	#Expl.:209/4299	#Buy:86	#Sell:1062	#Hold:3151	#Stocks:  0.000000	PV:   8477.54	POS:24	NEG:4224	Loss:  0.006791
[Epoch 093/100]	Epsilon:0.0354	#Expl.:166/4299	#Buy:62	#Sell:913	#Hold:3324	#Stocks:  0.000000	PV:   9268.80	POS:17	NEG:4246	Loss:  0.005270
[Epoch 094/100]	Epsilon:0.0303	#Expl.:126/4299	#Buy:42	#Sell:1193	#Hold:3064	#Stocks:  0.000000	PV:   9340.65	POS:10	NEG:4266	Loss:  0.004064
[Epoch 095/100]	Epsilon:0.0253	#Expl.:105/4299	#Buy:46	#Sell:681	#Hold:3572	#Stocks:  0.000000	PV:   9055.52	POS:11	NEG:4259	Loss:  0.005287
[Epoch 096/100]	Epsilon:0.0202	#Expl.:109/4299	#Buy:53	#Sell:916	#Hold:3330	#Stocks:  0.000000	PV:   9293.48	POS:16	NEG:4253	Loss:  0.003764
[Epoch 097/100]	Epsilon:0.0152	#Expl.:67/4299	#Buy:24	#Sell:391	#Hold:3884	#Stocks:  0.000000	PV:   9583.81	POS:6	NEG:4278	Loss:  0.002070
[Epoch 098/100]	Epsilon:0.0101	#Expl.:49/4299	#Buy:31	#Sell:410	#Hold:3858	#Stocks:  0.000000	PV:   9588.74	POS:8	NEG:4271	Loss:  0.001877
[Epoch 099/100]	Epsilon:0.0051	#Expl.:17/4299	#Buy:17	#Sell:270	#Hold:4012	#Stocks:  0.000000	PV:   9605.86	POS:6	NEG:4281	Loss:  0.001185
[Epoch 100/100]	Epsilon:0.0000	#Expl.:0/4299	#Buy:20	#Sell:230	#Hold:4049	#Stocks:  0.000000	PV:   9544.76	POS:7	NEG:4278	Loss:  0.000603
Max PV: 9605.859130825816, 	 # Win: 0
LR: 0.1, DF: 0, DRT: 0.1
[Epoch 001/100]	Epsilon:0.5000	#Expl.:2146/4299	#Buy:1101	#Sell:1510	#Hold:1688	#Stocks:  0.415584	PV:   2655.61	POS:1	NEG:4285	Loss:  0.052535
[Epoch 002/100]	Epsilon:0.4949	#Expl.:2143/4299	#Buy:1353	#Sell:989	#Hold:1957	#Stocks:  0.000000	PV:   2051.02	POS:3	NEG:4279	Loss:  0.048033
[Epoch 003/100]	Epsilon:0.4899	#Expl.:2101/4299	#Buy:2074	#Sell:1108	#Hold:1117	#Stocks:  0.256817	PV:   1641.08	POS:9	NEG:4267	Loss:  0.050448
[Epoch 004/100]	Epsilon:0.4848	#Expl.:2107/4299	#Buy:2541	#Sell:781	#Hold:977	#Stocks:  0.284564	PV:   1818.38	POS:6	NEG:4272	Loss:  0.046387
[Epoch 005/100]	Epsilon:0.4798	#Expl.:2085/4299	#Buy:2675	#Sell:731	#Hold:893	#Stocks:  0.213267	PV:   2301.61	POS:14	NEG:4259	Loss:  0.045795
[Epoch 006/100]	Epsilon:0.4747	#Expl.:2013/4299	#Buy:1663	#Sell:1025	#Hold:1611	#Stocks:  0.068424	PV:   1479.24	POS:6	NEG:4271	Loss:  0.053231
[Epoch 007/100]	Epsilon:0.4697	#Expl.:1996/4299	#Buy:2163	#Sell:841	#Hold:1295	#Stocks:  0.052625	PV:   2114.98	POS:8	NEG:4271	Loss:  0.049805
[Epoch 008/100]	Epsilon:0.4646	#Expl.:2015/4299	#Buy:1692	#Sell:1035	#Hold:1572	#Stocks:  0.447627	PV:   2860.37	POS:6	NEG:4278	Loss:  0.052653
